rule_id,node,rule,category,revision,chip_source,cardiac_transcriptomic_validation,cell_type_caveat,evidence
R01,OGT,OGT = OGT_basal,O-GlcNAc,unchanged,N/A,N/A,,N/A
R02,OGA,OGA = OGA_basal,O-GlcNAc,unchanged,N/A,N/A,,N/A
R03,NFE2L2,NFE2L2 = NOT KEAP1,NRF2 Pathway,unchanged,N/A,N/A,,N/A
R04,KEAP1,KEAP1 = KEAP1_basal,NRF2 Pathway,unchanged,N/A,N/A,,N/A
R05,BACH1,BACH1 = BACH1_basal AND NOT heme,NRF2 Pathway,unchanged,N/A,N/A,,N/A
R28_NEW,ARE_Occupancy,ARE_Occupancy = NRF2 AND NOT BACH1,Intermediate (NEW),NEW NODE,Literature (Lebeau 2023; Redox Biol 2025),Indirect: NQO1/PRDX1 correlation consistent in cardiac datasets,ARE competition mechanism validated in multiple cell types; cardiac-specific direct evidence pending,Lebeau 2023 + Redox Biol 2025: BACH1 competes with NRF2 for ARE binding sites
R08_REV,NQO1,NQO1 = ARE_Occupancy,Antioxidant,FIXED: BACH1 → indirect via ARE competition (not direct repression),HEK293T: NOT in Warnatz 2011 BACH1 ChIP-seq targets,"GSE193997 ✓ (ρ=-0.190, p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001); GSE307385: partial",ARE competition model (NOT direct BACH1 binding); cardiac validation at transcriptomic level only,Warnatz 2011: NQO1 NOT in 59 BACH1 targets. Lebeau 2023: ARE competition mechanism.
R09_REV,PRDX1,PRDX1 = ARE_Occupancy,Antioxidant,FIXED: BACH1 → indirect via ARE competition (not direct repression),HEK293T: NOT in Warnatz 2011 BACH1 ChIP-seq targets,"GSE193997 ✓ (ρ=-0.161, p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001); GSE307385: partial",ARE competition model; cardiac validation at transcriptomic level only,Warnatz 2011: PRDX1 NOT in 59 BACH1 targets. Lebeau 2023: ARE competition mechanism.
R10_REV,HMOX1,HMOX1 = NRF2 AND NOT BACH1,Ferroptosis,FIXED: Added BACH1 repression (strongest: 7.19x up on BACH1 KD),HEK293T: Warnatz 2011 ChIP-seq ✓ (confirmed by qPCR),"GSE193997 ✓ (ρ=-0.421, p<0.01); GSE307385 ✓ (ρ=-0.421, p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001; highest repression in cardiomyocytes)","BACH1 repression of HMOX1 is the most conserved regulatory relationship across cell types (validated in HEK293T, K562, HepG2, and primary hepatocytes); cardiac ChIP-seq confirmation pending","Warnatz 2011: ChIP-seq + qPCR ✓, 24h +2.33x, 72h +7.19x"
R11_REV,GCLM,GCLM = NRF2 AND NOT BACH1,Antioxidant,FIXED: Added BACH1 repression (2.00x up on BACH1 KD),HEK293T: Warnatz 2011 ChIP-seq ✓,"GSE193997 ✓ (ρ=-0.445, p<0.01); GSE307385 ✓ (p<0.01); GSE240848 ✓ (snRNA-seq, p<0.001)",ChIP-seq evidence from HEK293T only; cardiac validation at transcriptomic level,"Warnatz 2011: ChIP-seq ✓, 24h +1.65x, 72h +2.00x"
