priority_rank,Drug,Fisher_P,neg_log10_p,N_DBs,DBs,Fisher_Rank,Avg_Rank
1,azd-7762,1.127295121498666e-52,51.94796237245457,2,"LINCS_Down,LINCS_Up",1,51.5
2,dasatinib,3.0436010613591584e-46,45.51661227312506,3,"DSigDB,LINCS_Down,LINCS_Up",2,519.0
3,alvocidib,4.1591993609467247e-41,40.380990262303015,3,"DSigDB,LINCS_Down,LINCS_Up",3,1299.0
4,cgp-60474,6.362378353539944e-40,39.19638050813517,2,"LINCS_Down,LINCS_Up",4,99.5
5,canertinib,1.1044919742728156e-39,38.95683743555687,2,"LINCS_Down,LINCS_Up",5,328.0
6,nilotinib,5.47795734755602e-39,38.26138135357041,3,"DSigDB,LINCS_Down,LINCS_Up",6,628.0
7,linifanib,1.3208694201661874e-38,37.879140114182846,2,"LINCS_Down,LINCS_Up",7,370.5
8,plx-4720,2.180905276256546e-38,37.6613631968204,2,"LINCS_Down,LINCS_Up",8,76.0
9,a443654,8.686450841082834e-38,37.06115763379105,2,"LINCS_Down,LINCS_Up",9,162.5
10,bms-387032,1.231950077753037e-37,36.90940689070703,2,"LINCS_Down,LINCS_Up",10,44.5
11,saracatinib,9.957823576460137e-37,36.00183557242173,2,"LINCS_Down,LINCS_Up",11,389.5
12,wz-4-145,1.7986030938000846e-34,33.745064663886446,2,"LINCS_Down,LINCS_Up",12,311.5
13,gdc-0941,7.051240187055226e-34,33.151734491657365,3,"DSigDB,LINCS_Down,LINCS_Up",13,723.0
14,ldn-193189,3.356602237741747e-33,32.474100120232116,2,"LINCS_Down,LINCS_Up",15,220.5
15,ql-xii-47,5.101202471604712e-33,32.29232743856338,2,"LINCS_Down,LINCS_Up",16,957.5
16,gsk-2126458,4.4535830551655537e-32,31.351290444086178,2,"LINCS_Down,LINCS_Up",17,138.0
17,kin001-043,6.856264884769563e-32,31.163912412238368,2,"LINCS_Down,LINCS_Up",18,71.0
18,gefitinib,2.2258927579127263e-31,30.652495763527224,3,"DSigDB,LINCS_Down,LINCS_Up",19,481.6666666666667
19,mitoxantrone,3.6339917349062532e-31,30.43961606477941,4,"DSigDB,DrugMatrix,LINCS_Down,LINCS_Up",20,350.5
20,pf-562271,5.6489709506536055e-31,30.248030658579886,2,"LINCS_Down,LINCS_Up",21,333.0
21,dovitinib,1.6946653942864318e-30,29.77091603891239,2,"LINCS_Down,LINCS_Up",22,54.0
22,as-605240,4.109559402838557e-30,29.386204737533447,2,"LINCS_Down,LINCS_Up",23,585.0
