rank,drug_name,best_pvalue,neg_log10_p,all_databases,n_original_compounds
1,LJP006,3.80268673331225e-41,40.419909450448955,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",1773
2,LJP005,3.6754033385256996e-34,33.43469499451604,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",1268
3,Ciclopirox,6.51866128709941e-27,26.18584158453204,DSigDB,1
4,8-Azaguanine,3.0979898678710396e-26,25.508920006956057,DSigDB,1
5,Anisomycin,4.17057052019036e-26,25.37980453092015,DSigDB,1
6,Nickel Sulfate,1.87266954714006e-25,24.727538851837334,DSigDB,1
7,Phorbol 12-Myristate 13-Acetate,5.00171190194915e-25,24.300881327199097,DSigDB,1
8,Menadione,1.18689305935593e-24,23.925588409793402,DSigDB,1
9,Estradiol,3.52858655082964e-22,21.452399225519994,DSigDB,1
10,Thioridazine,4.58334029595875e-22,21.3388178968092,DSigDB,1
11,Spiperone,5.99278935828367e-22,21.222370987136284,DSigDB,1
12,Progesterone,8.19420578244572e-22,21.086493133736738,DSigDB,1
13,LJP007,1.95557663455599e-21,20.708725160375284,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",221
14,Zinc,1.31593462082125e-20,19.88076568710648,DSigDB,1
15,LJP009,1.7360509887990302e-20,19.76043752349774,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",174
16,Terfenadine,4.35244119759775e-19,18.361267087581414,DSigDB,1
17,Stock1N,5.994664711015561e-19,18.222235102511405,DSigDB,3
18,Lycorine,1.00557361005604e-18,17.997586132654465,DSigDB,1
19,LJP008,2.1070634443589e-18,17.676322387448305,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",185
20,Tonzonium Bromide,3.47248907960451e-18,17.459359111371473,DSigDB,1
21,Tetradioxin,9.57245725928375e-18,17.01897656408695,DSigDB,1
22,Retinoic Acid,1.09096839392147e-17,16.962187831028825,DSigDB,1
23,Methylbenzethonium Chloride,1.55212934578051e-17,16.809072089896098,DSigDB,1
24,Cicloheximide,1.73428111518434e-17,16.760880504969332,DSigDB,1
25,Pyrvinium,6.2935172456878e-17,16.20110657339845,DSigDB,1
26,Etoposide,4.08513063524463e-16,15.38879405094093,DSigDB,1
27,Pd 98059,5.490495996025169e-16,15.260388420831003,DSigDB,1
28,Mebendazole,6.81210397342483e-16,15.1667187320042,DSigDB,1
29,Sanguinarine,9.08746486399745e-16,15.041557255296759,DSigDB,1
30,Arsenenous Acid,9.36297421840581e-16,15.028586172473117,DSigDB,1
31,Niclosamide,1.5838182358473901e-15,14.80029466093969,DSigDB,1
32,Decitabine,1.97118148268103e-15,14.705273389267708,DSigDB,1
33,1-Chloro-24-Dinitrobenzene,2.0819766667256602e-15,14.681524142053664,DSigDB,1
34,Nickel Chloride,3.5268120416845804e-15,14.452617685054472,DSigDB,1
35,Acetovanillone,4.01485393159252e-15,14.396330250598828,DSigDB,1
36,1-Nitropyrene,5.15660797185128e-15,14.287635884325953,DSigDB,1
37,Raloxifene,5.986044106394341e-15,14.222860087513684,DSigDB,1
38,Thapsigargin,7.654551035381341e-15,14.116080277019872,DSigDB,1
39,Troglitazone,9.80970168147958e-15,14.008344199557586,DSigDB,1
40,Valsartan,9.84118491495233e-15,14.006952607763365,DSigDB,1
41,Tert-Butyl Hydroperoxide,1.14699433704291e-14,13.94043872629846,DSigDB,1
42,Phencyclidine,1.27551255848971e-14,13.894315261040132,DSigDB,1
43,Dexamethasone,2.2889149001947902e-14,13.64037035370503,DSigDB,1
44,Astemizole,2.72427553166939e-14,13.564748970242317,DSigDB,1
45,Tamoxifen,2.98634083715972e-14,13.52486062686878,DSigDB,1
46,Oxygen,3.38624354996772e-14,13.470281809191288,DSigDB,1
47,Digoxin,3.74865928586242e-14,13.426124030635833,DSigDB,1
48,Crotonaldehyde,1.27662316459303e-13,12.893937279470952,DSigDB,1
49,Suloctidil,1.36336026612211e-13,12.865389367265367,DSigDB,1
50,Cephaeline,2.8932413213503497e-13,12.53861534092516,DSigDB,1
51,33445-Pentachlorobiphenyl,2.96818261595329e-13,12.527509382819883,DSigDB,1
52,Phenobarbital,5.99320570176298e-13,12.222340815978226,DSigDB,1
53,Deptropine,6.16525711643111e-13,12.210048806834871,DSigDB,1
54,Lomustine,6.16525711643111e-13,12.210048806834871,DSigDB,1
55,Cadmium,1.03523862961543e-12,11.984959530806163,DSigDB,1
56,Aflatoxin B1,1.2088200178881e-12,11.91763835675444,DSigDB,1
57,Tamibarotene,1.40673665816223e-12,11.851787195110525,DSigDB,1
58,Securinine,1.44891730387019e-12,11.838956400931677,DSigDB,1
59,Helveticoside,1.78932303407634e-12,11.747311247329602,DSigDB,1
60,Parthenolide,2.27868937851701e-12,11.642314872007072,DSigDB,1
61,Alexidine,2.9703224618867e-12,11.527196400576356,DSigDB,1
62,Benzene,3.02718857304282e-12,11.518960524639366,DSigDB,1
63,Copper,3.9647520008548e-12,11.401783973044669,DSigDB,1
64,N-Acetyl-L-Cysteine,4.01038620302196e-12,11.396813802500763,DSigDB,1
65,Benzoapyrene,4.71912474265146e-12,11.326138542612727,DSigDB,1
66,Aspirin,5.98561872602054e-12,11.222890950452562,DSigDB,1
67,124-Benzenetriol,6.35125020476873e-12,11.19714077807969,DSigDB,1
68,Clonidine,8.50705059916005e-12,11.0702209840435,DSigDB,1
69,Cycloheximide,8.674975270414839e-12,11.061731754570252,DSigDB,1
70,Ellipticine,1.30562705539365e-11,10.884180858983578,DSigDB,1
