"TargetNode","PerturbationType","PerturbedRule","Condition","FerroptosisFlipped","CellSurvivalFlipped","HammingDistance","AffectedNodes","PerturbedFerroptosis","BaselineFerroptosis"
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","Sham",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","WT_IR",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","Ogt_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","Oga_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","Nrf2_OE",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","Nrf2_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","AND_to_OR","(BACH1_basal OR NOT heme)","BACH1_KO",NA,NA,0,"",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","Sham",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","WT_IR",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","Ogt_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","Oga_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","Nrf2_OE",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","Nrf2_KO",NA,NA,8,"BACH1; ARE_Occupancy; NQO1; PRDX1; HMOX1; GCLM; FTH1; ME1",NA,NA
"BACH1","add_activator","((BACH1_basal AND NOT heme) OR PERTURB_ACTIVATOR)","BACH1_KO",NA,NA,0,"",NA,NA
