priority_rank,Drug,Fisher_P,neg_log10_p,N_DBs,DBs,Best_Term,Best_Pvalue
1,azd-7762,1.127295121498666e-52,51.94796237245457,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-AZD-7762-10,2.14363870217787e-40
2,dasatinib,3.0436010613591584e-46,45.51661227312506,3,"DSigDB,LINCS_Down,LINCS_Up",Dasatinib CTD 00004330,3.80268673331225e-41
3,alvocidib,4.1591993609467247e-41,40.380990262303015,3,"DSigDB,LINCS_Down,LINCS_Up",Alvocidib CTD 00002892,1.35230778946072e-37
4,cgp-60474,6.362378353539944e-40,39.19638050813517,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-CGP-60474-10,1.90423522054314e-31
5,canertinib,1.1044919742728156e-39,38.95683743555687,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-canertinib-10,1.96005606501858e-36
6,nilotinib,5.47795734755602e-39,38.26138135357041,3,"DSigDB,LINCS_Down,LINCS_Up",Nilotinib CTD 00004428,3.6754033385256996e-34
7,linifanib,1.3208694201661874e-38,37.879140114182846,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-linifanib-10,2.0723586160527893e-34
8,plx-4720,2.180905276256546e-38,37.6613631968204,2,"LINCS_Down,LINCS_Up",LJP005 A375 24H-PLX-4720-0.12,6.871896629910031e-23
9,a443654,8.686450841082834e-38,37.06115763379105,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-A443654-1.11,5.8123886574016e-31
10,bms-387032,1.231950077753037e-37,36.90940689070703,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-BMS-387032-3.33,2.6890921001376603e-25
11,saracatinib,9.957823576460137e-37,36.00183557242173,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-saracatinib-10,7.556397894451929e-33
12,wz-4-145,1.7986030938000846e-34,33.745064663886446,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-WZ-4-145-10,2.05637657083584e-30
13,gdc-0941,7.051240187055226e-34,33.151734491657365,3,"DSigDB,LINCS_Down,LINCS_Up",GDC-0941 CTD 00004868,6.594077689116459e-30
14,ldn-193189,3.356602237741747e-33,32.474100120232116,2,"LINCS_Down,LINCS_Up",LJP005 MCF10A 24H-LDN-193189-1.11,1.88075001348297e-23
15,ql-xii-47,5.101202471604712e-33,32.29232743856338,2,"LINCS_Down,LINCS_Up",LJP006 HA1E 24H-QL-XII-47-0.37,2.62086016246428e-29
16,gsk-2126458,4.4535830551655537e-32,31.351290444086178,2,"LINCS_Down,LINCS_Up",LJP006 MCF10A 3H-GSK-2126458-3.33,2.56149116879158e-24
17,kin001-043,6.856264884769563e-32,31.163912412238368,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-KIN001-043-10,4.7939592690049e-23
18,gefitinib,2.2258927579127263e-31,30.652495763527224,3,"DSigDB,LINCS_Down,LINCS_Up",Gefitinib CTD 00003879,4.10880078618518e-25
19,mitoxantrone,3.6339917349062532e-31,30.43961606477941,4,"DSigDB,DrugMatrix,LINCS_Down,LINCS_Up",mitoxantrone PC3 DOWN,5.09993237315807e-16
20,pf-562271,5.6489709506536055e-31,30.248030658579886,2,"LINCS_Down,LINCS_Up",LJP006 HME1 3H-PF-562271-10,1.50077434015504e-27
