RDKit_Validated_Rank,Drug_Name,Fisher_P,neg_log10_p,N_DBs,SMILES_Available
1,azd-7762,1.127295121498666e-52,51.94796237245457,2,True
2,dasatinib,3.0436010613591584e-46,45.51661227312506,3,True
3,alvocidib,4.1591993609467247e-41,40.380990262303015,3,True
4,cgp-60474,6.362378353539944e-40,39.19638050813517,2,True
5,canertinib,1.1044919742728156e-39,38.95683743555687,2,True
6,nilotinib,5.47795734755602e-39,38.26138135357041,3,True
7,linifanib,1.3208694201661874e-38,37.879140114182846,2,True
8,plx-4720,2.180905276256546e-38,37.6613631968204,2,True
9,a443654,8.686450841082834e-38,37.06115763379105,2,True
10,bms-387032,1.231950077753037e-37,36.90940689070703,2,True
11,saracatinib,9.957823576460137e-37,36.00183557242173,2,True
12,wz-4-145,1.7986030938000846e-34,33.745064663886446,2,False
13,gdc-0941,7.051240187055226e-34,33.151734491657365,3,True
14,ldn-193189,3.356602237741747e-33,32.474100120232116,2,True
15,ql-xii-47,5.101202471604712e-33,32.29232743856338,2,False
16,gsk-2126458,4.4535830551655537e-32,31.351290444086178,2,True
17,kin001-043,6.856264884769563e-32,31.163912412238368,2,True
18,gefitinib,2.2258927579127263e-31,30.652495763527224,3,True
19,pf-562271,5.6489709506536055e-31,30.248030658579886,2,True
20,dovitinib,1.6946653942864318e-30,29.77091603891239,2,True
