Human_Gene,Mouse_Gene,Detected_Pool1,Protein_log2FC_P1,Protein_p_P1,Protein_IR_mean_P1,Protein_Sham_mean_P1,Protein_N_IR_P1,Protein_N_Sham_P1,Detected_Pool2,Protein_log2FC_P2,Protein_p_P2,Protein_IR_mean_P2,Protein_Sham_mean_P2,Protein_N_IR_P2,Protein_N_Sham_P2,mRNA_log2FC,Concordant_P1,Concordant_P2
OGT,Ogt,True,0.1761,0.4331,346496666.67,306690000.0,3,2,True,0.0774,0.7424,314372000.0,297960000.0,3,2,-0.56,False,False
OGA,Oga,True,-0.123,0.395,175556666.67,191175500.0,3,2,True,-0.0389,0.8635,152643666.67,156820000.0,3,2,0.31,False,False
NFE2L2,Nfe2l2,False,None,None,,,,,False,None,None,,,,,0.12,None,None
KEAP1,Keap1,False,None,None,,,,,True,0.0097,0.9724,2844910.0,2825930.0,3,2,0.08,None,True
BACH1,Bach1,False,None,None,,,,,True,0.0281,0.9647,1710213.33,1677220.0,3,2,1.02,None,True
MAF,Maf,False,None,None,,,,,False,None,None,,,,,-0.2,None,None
NFE2,Nfe2,False,None,None,,,,,False,None,None,,,,,0.05,None,None
NFE2L1,Nfe2l1,False,None,None,,,,,False,None,None,,,,,0.1,None,None
GFPT1,Gfpt1,True,0.3244,0.4593,108928733.33,86996550.0,3,2,True,0.152,0.4831,70615500.0,63553100.0,3,2,0.3,True,True
GFPT2,Gfpt2,True,1.0521,0.1644,136778600.0,65965450.0,3,2,True,0.3064,0.495,34813633.33,28152800.0,3,2,-0.15,False,False
GPX4,Gpx4,True,0.1947,0.3924,577952666.67,504973000.0,3,2,True,0.0023,0.9925,513068666.67,512240500.0,3,2,-0.15,False,False
ACSL4,Acsl4,True,0.3981,0.3021,90117833.33,68386050.0,3,2,True,0.0248,0.9445,5188920.0,5100470.0,3,2,-0.42,False,False
SLC7A11,Slc7a11,False,None,None,,,,,False,None,None,,,,,-0.66,None,None
HMOX1,Hmox1,True,1.9615,0.1879,222039666.67,57010700.0,3,2,False,None,None,,,,,2.33,True,None
FTH1,Fth1,True,0.5187,0.052,421010000.0,293874000.0,3,2,True,0.3258,0.5046,544584333.33,434505000.0,3,2,1.68,True,True
FTL,Ftl1,False,None,None,,,,,False,None,None,,,,,0.25,None,None
TFRC,Tfrc,True,-0.226,0.5849,476027333.33,556760500.0,3,2,True,-0.2814,0.1518,519055666.67,630864500.0,3,2,0.55,False,False
NQO1,Nqo1,True,0.1214,0.3345,544893333.33,500924000.0,3,2,True,-0.0469,0.7652,483927000.0,499932000.0,3,2,-0.71,False,True
PRDX1,Prdx1,True,0.3187,0.3485,2361320000.0,1893260000.0,3,2,True,0.0151,0.9417,1422740000.0,1407975000.0,3,2,-0.53,False,False
GCLC,Gclc,True,0.257,0.2989,115821066.67,96921400.0,3,2,True,0.1244,0.6472,213224333.33,195614000.0,3,2,0.18,True,True
GCLM,Gclm,True,0.5679,0.145,165396333.33,111578000.0,3,2,True,0.0891,0.7214,159999666.67,150414000.0,3,2,1.65,True,True
TXN,Txn1,True,0.1892,0.3623,443535666.67,389011000.0,3,2,True,0.116,0.7068,469081666.67,432842000.0,3,2,0.22,True,True
TXN2,Txn2,True,-0.156,0.3967,29051066.67,32369200.0,3,2,True,0.3089,0.7406,169467866.67,136802750.0,3,2,-0.11,True,False
TXNRD1,Txnrd1,True,0.2821,0.3408,406229666.67,334089000.0,3,2,True,-0.0078,0.9746,391954666.67,394089500.0,3,2,0.35,True,False
ME1,Me1,True,0.1584,0.294,531221333.33,475987500.0,3,2,True,0.2282,0.5826,717533000.0,612556000.0,3,2,0.42,True,True
SLC40A1,Slc40a1,False,None,None,,,,,False,None,None,,,,,-0.3,None,None
HAMP,Hamp,False,None,None,,,,,False,None,None,,,,,0.05,None,None
