Human_Gene,Mouse_Gene,Detected,Protein_log2FC,Protein_p_value,Protein_IR_mean,Protein_Sham_mean,Protein_N_IR,Protein_N_Sham,mRNA_log2FC,Directional_Concordant
OGT,Ogt,False,None,None,,,,,-0.56,None
OGA,Oga,False,None,None,,,,,0.31,None
MGEA5,Mgea5,False,None,None,,,,,nan,None
NFE2L2,Nfe2l2,False,None,None,,,,,0.12,None
KEAP1,Keap1,False,None,None,,,,,0.08,None
BACH1,Bach1,False,None,None,,,,,1.02,None
GPX4,Gpx4,False,None,None,,,,,-0.15,None
ACSL4,Acsl4,False,None,None,,,,,-0.42,None
SLC7A11,Slc7a11,False,None,None,,,,,-0.66,None
HMOX1,Hmox1,False,None,None,,,,,2.33,None
FTH1,Fth1,False,None,None,,,,,1.68,None
FTL,Ftl1,False,None,None,,,,,0.25,None
TFRC,Tfrc,False,None,None,,,,,0.55,None
NQO1,Nqo1,False,None,None,,,,,-0.71,None
PRDX1,Prdx1,True,-0.9468,0.023,30145364.48,58106210.95,3,3,-0.53,True
GCLC,Gclc,False,None,None,,,,,0.18,None
GCLM,Gclm,False,None,None,,,,,1.65,None
TXN,Txn,False,None,None,,,,,0.22,None
TXN2,Txn2,True,0.5369,0.455,3325956.07,2292389.04,3,3,-0.11,False
SRXN1,Srxn1,False,None,None,,,,,0.45,None
SQSTM1,Sqstm1,False,None,None,,,,,1.58,None
G6PD,G6pdx,False,None,None,,,,,0.35,None
ME1,Me1,True,-1.1625,0.0043,712632.91,1595225.82,3,3,0.42,False
HIF1A,Hif1a,False,None,None,,,,,-0.21,None
NFKB1,Nfkb1,False,None,None,,,,,0.14,None
RELA,Rela,False,None,None,,,,,0.09,None
STAT3,Stat3,False,None,None,,,,,0.87,None
PTGS2,Ptgs2,False,None,None,,,,,1.12,None
