compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp006,3.80268673331225e-41,2260.76200997861,4011,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,1,40.419909450448955
ljp005,3.6754033385256996e-34,1240.06197821258,2683,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,2,33.43469499451604
ljp006 mcf10a 3h-gdc-0941-10,6.594077689116459e-30,1383.95113911436,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,3,29.180845940457072
ljp006 mdamb231 3h-ql-xii-47-333,2.62086016246428e-29,1134.24093856508,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,4,28.581556150472803
ljp006 mcf10a 3h-dasatinib-10,2.42832250038867e-28,1858.1025110574,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,5,27.614693636032424
ciclopirox,6.51866128709941e-27,741.031147419328,7,DSigDB,unknown,,False,,putative_negative,6,26.18584158453204
ljp006 mcf10a 3h-gsk-1059615-10,1.32053107996588e-26,925.956666224245,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,7,25.879251372799477
8-azaguanine,3.0979898678710396e-26,471.624985782826,8,DSigDB,unknown,,False,,putative_negative,8,25.508920006956057
ljp006 mcf10a 3h-azd-7762-10,3.56362044526197e-26,932.442587254013,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,9,25.448108558088116
anisomycin,4.17057052019036e-26,270.536215552484,12,DSigDB,unknown,,False,,putative_negative,10,25.37980453092015
ljp006 mcf10a 3h-canertinib-111,5.75860063937314e-26,1114.17519247803,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,11,25.239683038874237
nickel sulfate,1.8726695471400602e-25,322.407826825597,2,DSigDB,unknown,,False,,putative_negative,12,24.727538851837334
ljp006 mcf10a 3h-afatinib-333,4.1088007861851803e-25,1158.91442413443,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,13,24.38628491484858
ljp006 mcf10a 3h-gefitinib-111,4.1088007861851803e-25,1158.91442413443,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,14,24.38628491484858
ljp005 bt20 3h-nilotinib-10,4.47040179275065e-25,986.23453084776,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,15,24.34965344140218
phorbol 12-myristate 13-acetate,5.00171190194915e-25,344.116898113434,2,DSigDB,unknown,,False,,putative_negative,16,24.300881327199097
ljp005 mcf10a 3h-tws-119-10,7.112663623664521e-25,1342.30120107262,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,17,24.147967729730475
menadione,1.18689305935593e-24,548.767601426924,10,DSigDB,unknown,,False,,putative_negative,18,23.925588409793402
ljp006 mcf10a 3h-saracatinib-10,2.53226901939811e-24,1231.15171647924,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,19,23.59649015827794
ljp006 mcf10a 3h-gsk-2126458-333,2.56149116879158e-24,1031.89890413773,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,20,23.591507137094567
ljp006 mcf10a 3h-lapatinib-333,7.22977562614607e-24,966.03046381941,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,21,23.14087518069146
ljp005 mcf10a 3h-pelitinib-037,8.342340869093901e-24,1038.74723064856,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,22,23.078712068800655
ljp005 skbr3 3h-ldn-193189-10,1.13748648448283e-23,642.204668454739,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,23,22.944053754890103
ljp005 mcf10a 3h-trametinib-10,1.1956142857818901e-23,1014.46481088282,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,24,22.922408904439735
ljp006 mcf10a 3h-afatinib-111,1.6815611352599302e-23,1190.54062532494,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,25,22.77428733874281
ljp006 mcf10a 3h-wz-4-145-10,4.7939592690048996e-23,925.847200358554,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,26,22.31930566019005
ljp006 mcf10a 3h-afatinib-004,2.00895688666611e-22,728.379697172476,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,27,21.697029383353254
estradiol,3.52858655082964e-22,125.532111473177,3,DSigDB,indirect,indirect,False,,indirect,28,21.452399225519994
ljp005 mcf10a 3h-dasatinib-10,3.74116039237556e-22,1052.31643352789,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,29,21.42699367217324
thioridazine,4.58334029595875e-22,489.107214145316,10,DSigDB,unknown,,False,,putative_negative,30,21.3388178968092
spiperone,5.99278935828367e-22,418.507252071251,5,DSigDB,unknown,,False,,putative_negative,31,21.222370987136284
