compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class
--epicatechin boss,0.248305183282385,2.47607842448759,2,DSigDB,unknown,,True,literature_classified,excluded
--epigallocatechin gallate,0.0249248152173261,4.87066283362507,2,DSigDB,activator,medium,True,literature_classified,positive
--epigallocatechin gallate boss,0.0027130615693415,15.3004748944645,2,DSigDB,activator,medium,True,literature_classified,positive
--epigallocatechin gallate ttd 00000021,0.172130407352003,4.91409073555778,2,DSigDB,activator,medium,True,literature_classified,positive
--isoprenaline,3.41931875620382e-06,51.9101326625101,6,DSigDB,unknown,,False,,putative_negative
-chelidonine,3.62555772598933e-07,99.858190044276,3,DSigDB,unknown,,False,,putative_negative
-isoprenaline,1.47804544516332e-06,163.498661807126,4,DSigDB,unknown,,False,,putative_negative
-mk-801 hydrogen maleate boss,0.739097849404331,0.226592253798289,1,DSigDB,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-1d-dn,0.958403745699697,0.0210033400068639,2,DrugMatrix,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-1d-up,0.564527783929349,0.565462590399822,2,DrugMatrix,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-3d-dn,0.160480604625129,2.62511215190356,2,DrugMatrix,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-3d-up,0.849774120210173,0.111654841355283,2,DrugMatrix,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-5d-dn,0.89628099130722,0.0686947016185871,2,DrugMatrix,unknown,,False,,putative_negative
-pulegone-200 mgkg in cmc-rat-kidney-5d-up,0.845569387700575,0.115888136069493,2,DrugMatrix,unknown,,False,,putative_negative
0173570-0000,0.022083319774358,15.3439792392818,2,DSigDB,unknown,,False,,putative_negative
0175029-0000,0.0790945300968487,3.21918496695774,6,DSigDB,unknown,,False,,putative_negative
0179445-0000,0.013913746965113,9.61977761197485,8,DSigDB,unknown,,False,,putative_negative
0297417-0002b,1.16781023184589e-07,92.1765864881162,7,DSigDB,unknown,,False,,putative_negative
0316684-0000,0.0049088957580768,34.7944123320241,1,DSigDB,unknown,,False,,putative_negative
0317956-0000,3.42109887578501e-07,316.878678321147,1,DSigDB,unknown,,False,,putative_negative
1-5-deoxypentofuranosyl-5-fluoropyrimidine-241h3h-dione,0.0383252347174999,10.8868932456593,2,DSigDB,unknown,,False,,putative_negative
1-5-isoquinolinesulfonyl-2-methylpiperazine,0.0806361709961198,11.5885784207271,1,DSigDB,unknown,,False,,putative_negative
1-acetoxychavicol acetate,0.0008133662728634,55.9804274158556,1,DSigDB,unknown,,False,,putative_negative
1-amino-4-hydroxyanthraquinone,0.329174931258941,1.92929351371857,2,DSigDB,unknown,,True,quinone,excluded
1-bromopropane,0.0036844855632525,65.9243293119077,1,DSigDB,unknown,,False,,putative_negative
1-butanol,0.0005067218538698,51.2521554596367,1,DSigDB,unknown,,False,,putative_negative
1-butanol boss,0.725510454804506,0.250144771047919,1,DSigDB,unknown,,False,,putative_negative
1-chloro-24-dinitrobenzene,2.0819766667256602e-15,220.491751088177,2,DSigDB,unknown,,False,,putative_negative
1-chloro-24-dinitrobenzene boss,0.273534328310834,2.59786243744674,2,DSigDB,unknown,,False,,putative_negative
1-hydroxypyrene,0.732390200801018,0.238014556949901,1,DSigDB,unknown,,False,,putative_negative
1-methyl-3-nitro-1-nitrosoguanidine,0.0179762257300372,10.2106519408515,1,DSigDB,unknown,,False,,putative_negative
1-methyl-5-3-pyridinyl-2-pyrrolidinone,0.366132878780452,2.30764101311785,1,DSigDB,unknown,,False,,putative_negative
1-methylphenanthrene,0.103795560803268,8.86117848199568,2,DSigDB,unknown,,False,,putative_negative
1-naphthyl isothiocyanate,0.103795560803268,8.86117848199568,2,DSigDB,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-15 mgkg in corn oil-rat-liver-1d-dn,0.927237848010953,0.0418196466299696,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-15 mgkg in corn oil-rat-liver-1d-up,0.679161252517754,0.341181336279869,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-15 mgkg in corn oil-rat-liver-5d-dn,0.732391189483152,0.256861218429822,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-15 mgkg in corn oil-rat-liver-5d-up,0.252803898759729,1.79004242955971,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-16667 um in dmso-rat-primary rat hepatocytes-067d-dn,0.142131862705136,2.8769546808255,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-16667 um in dmso-rat-primary rat hepatocytes-067d-up,0.0078707396127696,10.2478368542592,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-16667 um in dmso-rat-primary rat hepatocytes-1d-dn,0.121769935713149,3.38240596694739,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-16667 um in dmso-rat-primary rat hepatocytes-1d-up,0.712810967332862,0.290202296226078,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-025d-dn,0.946183796301207,0.0287460679598889,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-025d-up,0.0722761996935387,4.34026549144651,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-1d-dn,0.0668059668280023,4.5346350367993,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-1d-up,0.7801541655591,0.192982333156765,1,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-3d-dn,0.744246852356219,0.240171992839562,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-bone marrow-3d-up,0.004746631981491,11.6752487897322,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-kidney-025d-dn,0.952182845536684,0.0229598552874476,2,DrugMatrix,unknown,,False,,putative_negative
1-naphthyl isothiocyanate-30 mgkg in corn oil-rat-kidney-025d-up,0.015082609618247,7.98059000486214,2,DrugMatrix,unknown,,False,,putative_negative
