rank,compound,best_pvalue,neg_log10_p,databases,nrf2_status,pains_category
1,ljp006,3.80268673331225e-41,40.419909450448955,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
2,ljp005,3.6754033385256996e-34,33.43469499451604,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
3,ljp006 mcf10a 3h-gdc-0941-10,6.594077689116459e-30,29.180845940457072,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
4,ljp006 mdamb231 3h-ql-xii-47-333,2.62086016246428e-29,28.581556150472803,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
5,ljp006 mcf10a 3h-dasatinib-10,2.42832250038867e-28,27.614693636032424,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
6,ciclopirox,6.51866128709941e-27,26.18584158453204,DSigDB,unknown,
7,ljp006 mcf10a 3h-gsk-1059615-10,1.32053107996588e-26,25.879251372799477,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
8,8-azaguanine,3.0979898678710396e-26,25.508920006956057,DSigDB,unknown,
9,ljp006 mcf10a 3h-azd-7762-10,3.56362044526197e-26,25.448108558088116,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
10,anisomycin,4.17057052019036e-26,25.37980453092015,DSigDB,unknown,
11,ljp006 mcf10a 3h-canertinib-111,5.75860063937314e-26,25.239683038874237,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
12,nickel sulfate,1.8726695471400602e-25,24.727538851837334,DSigDB,unknown,
13,ljp006 mcf10a 3h-afatinib-333,4.1088007861851803e-25,24.38628491484858,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
14,ljp006 mcf10a 3h-gefitinib-111,4.1088007861851803e-25,24.38628491484858,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
15,ljp005 bt20 3h-nilotinib-10,4.47040179275065e-25,24.34965344140218,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
16,phorbol 12-myristate 13-acetate,5.00171190194915e-25,24.300881327199097,DSigDB,unknown,
17,ljp005 mcf10a 3h-tws-119-10,7.112663623664521e-25,24.147967729730475,LINCS_L1000_Chem_Pert_down,unknown,
18,menadione,1.18689305935593e-24,23.925588409793402,DSigDB,unknown,
19,ljp006 mcf10a 3h-saracatinib-10,2.53226901939811e-24,23.59649015827794,LINCS_L1000_Chem_Pert_down,unknown,
20,ljp006 mcf10a 3h-gsk-2126458-333,2.56149116879158e-24,23.591507137094567,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
21,ljp006 mcf10a 3h-lapatinib-333,7.22977562614607e-24,23.14087518069146,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
22,ljp005 mcf10a 3h-pelitinib-037,8.342340869093901e-24,23.078712068800655,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
23,ljp005 skbr3 3h-ldn-193189-10,1.13748648448283e-23,22.944053754890103,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
24,ljp005 mcf10a 3h-trametinib-10,1.1956142857818901e-23,22.922408904439735,LINCS_L1000_Chem_Pert_down,unknown,
25,ljp006 mcf10a 3h-afatinib-111,1.6815611352599302e-23,22.77428733874281,LINCS_L1000_Chem_Pert_down,unknown,
26,ljp006 mcf10a 3h-wz-4-145-10,4.7939592690048996e-23,22.31930566019005,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
27,ljp006 mcf10a 3h-afatinib-004,2.00895688666611e-22,21.697029383353254,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
28,estradiol,3.52858655082964e-22,21.452399225519994,DSigDB,indirect,
29,ljp005 mcf10a 3h-dasatinib-10,3.74116039237556e-22,21.42699367217324,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,
30,thioridazine,4.58334029595875e-22,21.3388178968092,DSigDB,unknown,
