gene,log2FC_GSE57338,p_GSE57338,log2FC_GSE193997,padj_GSE193997,same_direction
LZTFL1,0.02066033172644577,0.3888177856861441,-0.796473272183345,0.000212552151945803,False
PIM3,-0.16543343927122756,1.6396125766575241e-15,1.23245978524022,7.18613259533465e-13,False
JKAMP,-0.027916538648346645,0.2476276780297542,-0.672577487090967,0.00225388922547776,True
WDR36,-0.053894128418535914,0.035844763909859474,0.317550278230848,0.03886578168846,False
SCAMP3,-0.06710668909334494,0.0015120594846945877,0.551311405851866,0.000554848466599408,False
HELZ,0.12255843237184294,4.1135708631859934e-13,-0.541791966443152,0.000122568065151499,False
SLC45A3,-0.0252850285734878,0.2329037047156209,1.66531195670742,8.41537444121461e-07,False
MKKS,-0.16369772168062546,6.474719921712889e-07,-0.624976130094936,2.59736971617151e-05,True
NTS,-0.005266599622798296,0.7701148309344024,1.1954998605015,0.0208639304377818,False
ANO6,-0.00015656988040113617,0.9953230707742653,0.682844688789938,1.39576878260477e-07,False
TOP2A,-0.09534207831783803,0.021507771247374637,-0.77234084332481,0.0333739645132081,True
RASAL2,0.03020953696946549,0.41361374056891703,0.311154626887897,0.0461983048779014,True
SLF1,-0.015991489828805605,0.5767714685776735,-1.53255886893105,2.93662948441641e-21,True
PHACTR2,0.06839818167248168,0.0015910438520897986,-0.989920182344156,6.29171046438232e-11,False
NARS2,0.10044331879515589,0.0009569071001449436,-0.511666518657071,0.0130745903853169,False
POLQ,-0.03274905533715522,0.031122676037231747,-1.83659938276155,1.51108955128302e-10,True
PIGK,0.1654782781377948,2.8734714499158245e-06,-0.536012972837068,0.00199104110145936,False
PDE12,-0.14502129043693923,5.4131474366540944e-08,0.948100414580199,1.79710892048426e-07,False
HPCAL1,-0.3018969192322203,4.67840305619646e-28,0.58841657989103,0.00653165015143537,False
PDE4A,-0.21370069153938154,1.1071234663295892e-11,-1.49296073296831,3.80705356996121e-18,True
CEP63,-0.032580921183781975,0.23164142093293905,-0.332318506017741,0.0492380015787456,True
BBS10,0.2786915386217599,1.3590526951693662e-18,-1.33119547954065,0.00385977649354864,False
CEACAM1,-0.15775197393236962,0.00039385339327101964,-0.44094029773634,0.0159376218861124,True
KLHDC4,0.06286589207394488,0.01217260064167693,0.651860872145649,0.00392253348209992,True
NGF,-0.2237650357949894,6.076702124377559e-14,2.75056866441026,1.74828605153721e-20,False
AMPD3,-0.005470091060069571,0.8875113688620055,1.11829874787062,3.45960958399241e-10,False
TMEM177,-0.14515620232838966,4.59710409283999e-06,-1.16596866697474,2.63830995220449e-05,True
PPP1R13L,-0.007920277967264688,0.8190806186987548,0.607252139192589,0.000186074079212949,False
CD33,-0.33795890407219975,9.702689027485576e-13,1.21923351455399,0.000360941880398609,False
XRCC5,0.022765327522598966,0.2701846376756866,-0.671412215260713,0.000386608535649599,False
MOCS3,-0.01134166929490732,0.7102199349393664,1.01967135502072,0.000635611930428689,False
WWC2,0.019192110813269103,0.4182269033657069,0.765052420349314,5.66682375968286e-08,True
GAB1,0.21456690808403955,3.7086676819787175e-13,-1.28093925086383,7.97924388170174e-23,False
LRBA,0.22439953430533333,1.606761636767576e-11,-0.784780457001484,5.42967191110248e-08,False
IDE,-0.06393078913434636,0.010129073114913224,-0.627964326350876,0.00633840526194998,True
HP,-0.3280413074615738,1.1730578283214359e-05,3.97583224326497,0.000116795280847116,False
SLC25A38,-0.09193327101906767,0.0012075808188167724,-0.546098893057983,0.0118001743825532,True
TSPAN2,0.04030085449223186,0.38853046603326247,-0.623199137828495,0.00488197027250196,False
TNFAIP3,0.29255215942136115,2.4487835436432664e-05,1.37343620448681,1.70260289808865e-05,True
SLC37A2,-0.03137217707544071,0.48262496467577526,-0.886602632322683,0.00247120416400711,True
LPP,-0.01570877090939682,0.526617929056758,0.721910573071959,3.49195913204344e-05,False
DGAT1,-0.22707963573757883,1.8392596723632352e-17,0.416789570073454,0.0301015147683925,False
CCDC47,-0.12396995818183054,1.1393118892827638e-05,-0.456825029250404,1.2908681703431e-05,True
DCAF6,0.10385700443851675,1.304915829764026e-05,-0.468388094760074,6.13457269689976e-05,False
BRCA2,-0.027543466284438267,0.31123872498565336,-1.13896731464435,0.0167210832688747,True
TSHZ2,0.33161558311951644,1.2034753703465323e-12,1.1580730171119,0.00687564263733554,True
TIGAR,-0.36239653665686244,8.282299136075607e-13,-0.374303678679221,0.00768935023153106,True
TMEM106B,0.20120570774933455,7.582963474929311e-11,-0.898285523741939,4.58152940807206e-10,False
RNF149,-0.1650066310203977,3.2610139920862007e-07,1.5461928930844,6.25680223291081e-12,False
CFAP157,-0.12668275521223826,1.9377840718544063e-07,2.99837278360812,8.10688417900629e-06,False
FOSL2,-0.46152069208408086,1.1614036640202255e-15,1.8745052149576,1.65819316205089e-26,False
CDCA7,-0.03310419592717695,0.1699726174994721,1.74089065808431,2.935755860466e-05,False
LYPLAL1,0.43563228979187496,5.362950391536772e-18,-1.38176287225415,0.0471792348551929,False
