gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
VTN,-0.637753060464966,3.890198009431721,4.032429575837491,10.665244329860606,16.432984523520535,20.323182532952256
CHIL3,6.90658819169195,4.905340917421114,3.9604779122834923,10.47494167055528,13.061249546587103,17.966590464008217
CLU,0.614288266514817,3.6892777555830527,3.6510976353463906,9.656671646908597,17.43465103964165,21.123928795224703
S100A8,5.00401871444728,4.104661463296203,3.4339473707764343,9.082337840359363,17.556357919705338,21.66101938300154
IGHM,-2.19186112362201,2.6640548932683092,3.0302241611356644,8.014543204030202,15.475010261993456,18.139065155261765
S100A9,5.56496843392366,3.7318637185693326,2.980320117604778,7.882553591491375,17.637970933511436,21.36983465208077
C4B,0.149241875149514,2.7753369795458607,2.8041672702479308,7.416652545700332,15.306824482306032,18.082161461851893
GSN,-0.0625370455873989,2.658881202196252,2.7182275720900733,7.189353379961608,18.13762153524482,20.79650273744107
SERPINF1,-0.44736824600041,2.548591896127835,2.663390146437313,7.044315622448933,13.731508975941885,16.28010087206972
PF4,0.979410708742182,2.513017626506775,2.422225540343922,6.406467050185545,15.334885545492464,17.84790317199924
SERPINA3N,4.41307309049139,2.963780662477138,2.378218309308516,6.2900737288773225,16.237967950362766,19.201748612839904
C8G,-0.156762993573628,2.2703469960925045,2.3432707630221605,6.197642078711261,14.553799772131592,16.824146768224097
ITIH4,0.585153764117953,2.3660880720465265,2.3321060598144823,6.168112911408807,17.196765318590497,19.562853390637024
FBLN1,-0.346489782308459,2.1213827346681704,2.2216450001116663,5.8759579788775484,13.797873693445547,15.919256428113718
CPN2,-1.97824528854319,1.7591073942716804,2.094495894548028,5.5396653662836135,13.912353552043962,15.671460946315642
QSOX1,1.80959813683689,2.2071858380608553,1.9967686956762543,5.281189815988635,14.723153200593018,16.930339038653873
CFH,-0.182849835151776,1.8697641485899297,1.9464468737798855,5.148095234780224,16.971136900007952,18.840901048597882
MYL1,-0.307564365139928,1.8103356503917745,1.904988995416026,5.038444615015495,16.102301088364165,17.91263673875594
SERPING1,-0.375637755042949,1.790663618637872,1.8951259330812855,5.012358116128827,16.321775752825555,18.112439371463427
G6PDX,0.587272110819802,1.8725548953133906,1.8382676419578,4.861975436008648,14.318982370437253,16.191537265750643
SERPINB1A,0.654546800600421,1.8331057177882428,1.7891245829367868,4.731998527120658,14.531384781407368,16.36449049919561
H2-Q10,1.07873357499653,1.8707597982924575,1.7656558795750577,4.6699269023717305,15.991623413395033,17.86238321168749
