gene,rna_log2fc,prot_log2fc,residual
VTN,-0.637753060464966,3.890198009431721,4.032429575837491
CHIL3,6.90658819169195,4.905340917421114,3.9604779122834923
CLU,0.614288266514817,3.6892777555830527,3.6510976353463906
S100A8,5.00401871444728,4.104661463296203,3.4339473707764343
IGHM,-2.19186112362201,2.6640548932683092,3.0302241611356644
S100A9,5.56496843392366,3.7318637185693326,2.980320117604778
C4B,0.149241875149514,2.7753369795458607,2.8041672702479308
GSN,-0.0625370455873989,2.658881202196252,2.7182275720900733
SERPINF1,-0.44736824600041,2.548591896127835,2.663390146437313
PF4,0.979410708742182,2.513017626506775,2.422225540343922
SERPINA3N,4.41307309049139,2.963780662477138,2.378218309308516
C8G,-0.156762993573628,2.2703469960925045,2.3432707630221605
ITIH4,0.585153764117953,2.3660880720465265,2.3321060598144823
FBLN1,-0.346489782308459,2.1213827346681704,2.2216450001116663
CPN2,-1.97824528854319,1.7591073942716804,2.094495894548028
QSOX1,1.80959813683689,2.2071858380608553,1.9967686956762543
CFH,-0.182849835151776,1.8697641485899297,1.9464468737798855
MYL1,-0.307564365139928,1.8103356503917745,1.904988995416026
SERPING1,-0.375637755042949,1.790663618637872,1.8951259330812855
G6PDX,0.587272110819802,1.8725548953133906,1.8382676419578
SERPINB1A,0.654546800600421,1.8331057177882428,1.7891245829367868
H2-Q10,1.07873357499653,1.8707597982924575,1.7656558795750577
APOE,0.500630613892478,1.710179348393737,1.6883766179185449
CORO1A,1.6092684422857,1.8518006540127594,1.670249825622542
FN1,0.54877447846056,1.666745713554576,1.6380057393789984
FETUB,2.52101956816317,1.9047655738364302,1.591836846911122
C1QB,0.369878143095206,1.5798174432580332,1.576855363870696
EGFR,0.001751263264812,1.474839899515791,1.5249227075914134
ANXA1,0.311958467959566,1.4647961121064164,1.4701799124083774
ARHGDIB,0.128336223795524,1.4116121151195244,1.443454785477009
COL6A6,-2.56723711076776,-1.8351931816549545,-1.414934473202284
COL4A2,1.03697388320587,-1.2861179582855868,-1.3852045545174785
C3,-0.507648797443462,1.2118590136668814,1.3353433318586478
CP,-0.125726089864848,1.2343577169238422,1.302809251167883
COL4A1,0.987477612858564,-1.2010734439433755,-1.2930279228693569
HSPA1A,6.25473877934256,2.12703650023402,1.2761011070567108
EMILIN1,1.08226799700251,-1.1646518444714928,-1.270265052316707
UBE2D1,-1.06210694596528,-1.4098286543555645,-1.2064502243705724
COL1A2,-1.08498918759051,-1.3925052174005508,-1.1858295928926545
