gene,in_OGT_PIN,log2FC,padj
EEF1D,YES,0.588098278868327,1.03771480473107e-06
SPATA7,YES,-1.15569009224062,0.00209160606899027
EP400,YES,0.445168196534147,0.000931176161998249
H2AJ,YES,1.34504977713262,1.09639695455825e-09
HDAC2,YES,-0.449765864516903,0.00198237152575426
RPL10,YES,0.248294292067582,0.032329273409421
RPS6,YES,0.345371723164692,0.00285980465988518
UPF3B,YES,-0.76971667965284,0.00447249469168512
AIFM1,YES,-0.247053724574101,0.0377199829053558
GNAS,YES,1.80839040872628,1.01685230094215e-37
SEPTIN6,YES,-0.824174403041939,0.00140940837128424
MYO6,YES,-0.87392216496429,6.5111992544219e-05
RUNX2,YES,1.49460314819969,0.00614689049910429
FAM98A,YES,-0.306419790335185,0.0244315933644289
SNIP1,YES,0.586939469666744,0.0216041387602118
JMJD1C,YES,0.435631785881506,0.00872445358813287
EPB41L3,YES,-1.53377888367781,5.49661939213503e-11
ENAH,YES,2.27534059871997,5.27262538613531e-09
CAPZA1,YES,0.507813205151111,0.000213625228836682
CKAP5,YES,-0.818482007878121,4.93731363769788e-12
ILF2,YES,0.408398460465553,0.0217206432094846
ACTG1,YES,1.02953988886284,3.81542983274492e-10
OPA1,YES,-0.70047519157845,2.2587952859137e-12
RBM27,YES,0.390072796809901,0.0167708800156137
UBTD1,YES,1.05914291806387,3.13948526091553e-06
DDX5,YES,0.210629946442962,0.0397404769175279
PRRC2A,YES,0.725482819624546,5.17789447987509e-08
CKAP4,YES,1.26688393397992,5.29173080789411e-10
PNN,YES,0.302944673084213,0.0378596581270973
CSE1L,YES,-0.521022494929303,2.72298181443624e-05
ACTN1,YES,2.05516164986749,8.76828256609527e-30
ARID1A,YES,0.364356442635056,0.00383810930367463
FLII,YES,0.446129671830813,6.86169119157871e-05
MYL6,YES,0.995825888694287,1.5615934822701e-13
SPTAN1,YES,0.408559480649456,8.31511973113109e-05
EIF2S1,YES,0.374031962266253,0.0167993697310505
TIMM50,YES,0.349502439861185,0.0142338752591734
BCOR,YES,0.702985357259843,2.93733736076015e-05
RPL34,YES,0.586902874471253,2.35229959920429e-06
NUP88,YES,-0.327769665818192,0.0149295820675741
CTBP2,YES,0.507772478211117,0.00406094066438978
DLG3,YES,-0.697708389832494,0.0127747094622767
WDR6,YES,-0.806565717960795,7.51313815996879e-05
CCT5,YES,0.590146113971165,1.36455190084463e-05
YWHAZ,YES,0.461002246169955,3.2759577374398e-05
PPP1CC,YES,0.493281195928825,8.08621204900238e-05
RPL30,YES,0.328129715271836,0.00472511621402444
CPSF1,YES,0.520198430925841,2.51601589926314e-05
FLNB,YES,1.14367138319062,8.76241778579128e-10
BMI1,YES,-0.68687239270676,6.42289966817233e-07
EPRS1,YES,0.263159869779169,0.0261935662938951
SETD1A,YES,0.842597808920585,5.66549710082791e-06
TUBB4B,YES,0.875128432089425,4.92726026439986e-07
ABCF1,YES,0.49016914416625,8.41961593248211e-06
RRAS2,YES,2.00254926545516,6.24125952828802e-07
FARSA,YES,0.83373963685894,1.94539905800072e-06
SIPA1L1,YES,-0.573140299805736,0.00285496196649589
CBX3,YES,-0.417546871747752,0.0257871556440238
RBM14,YES,0.573903432201309,0.0143767560753538
SNAI1,YES,3.08241340634639,1.49148425273814e-11
WDR82,YES,0.275447726734169,0.0480342952085109
SMAD4,YES,0.271474581828431,0.0384854620324672
TAF4,YES,-0.440003611257162,0.0182418619506565
MAP4,YES,0.315436571108721,0.0102375464478008
SNAP91,YES,-0.851359960514833,4.51678139815594e-05
DYNC1I2,YES,-0.283737014588948,0.021987976081241
KMT2D,YES,0.784597903457812,1.08581213777602e-08
SNRNP200,YES,-0.239506851129532,0.0447040918931426
WDR77,YES,0.593997056403214,0.00106470671960296
PHGDH,YES,1.07325634237604,0.0205554850451305
NOC3L,YES,0.900973097306512,1.74475321869795e-05
PPP1R12A,YES,0.821106533540155,1.10250394768229e-06
H2AX,YES,1.12298189638991,8.8636579052914e-06
HSP90AB1,YES,0.35349841556323,0.00388953476581872
TOM1L1,YES,-1.19611704196922,2.53259207158166e-08
COPE,YES,0.326272132704425,0.0071588166361609
SMURF1,YES,0.586786411443001,0.000155605957882614
EEF1G,YES,0.472051588152576,0.000165294275236095
CFL1,YES,0.888434111246546,1.95027535144023e-11
PTPN1,YES,1.03869206719007,1.45834487017324e-09
SAP30,YES,1.54741146015854,1.18249064921165e-09
DOT1L,YES,1.00180628754891,9.44724233553857e-12
MYC,YES,3.17113613459766,2.1859979763636e-32
PABPC4,YES,0.385271754814568,0.000595517097372508
NSUN5,YES,0.558648019380968,0.0209135890471099
QSER1,YES,-0.643706247780699,1.5151242412204e-07
PRPF19,YES,-0.535917371023832,1.65127943193957e-06
ZC3H11A,YES,-0.490816522173585,0.0279691179942381
YTHDF2,YES,1.10152207800007,3.11386745416962e-10
EEF1B2,YES,0.458281221345062,5.33744566644125e-05
PSMB7,YES,0.577949477153389,1.05534635851679e-07
SF1,YES,0.751251828158551,1.36683405867969e-08
CARM1,YES,0.421046908892122,0.0013531654063945
DOCK7,YES,-0.613945972383595,0.000520758600875437
PLEC,YES,1.18920632531434,1.84872057751915e-15
TET1,YES,-3.51197804309424,4.95118344056074e-21
HSPBP1,YES,0.521509104635293,0.00820168002898526
YBX1,YES,0.613074255071874,2.30924531455318e-10
DDX39A,YES,0.966144095733563,2.55021549734083e-07
CDC42EP1,YES,1.06748085371802,3.02104009020183e-11
SLC3A2,YES,1.51352617357139,1.51173326816705e-21
SMC2,YES,-0.750369517868665,0.0183448320191746
LPP,YES,0.721910573071959,3.49195913204344e-05
SURF2,YES,0.771999108610063,0.000231844511624705
CSNK2A2,YES,0.871940145244557,6.12787300324805e-06
STARD7,YES,-0.730678647303516,7.41889097880458e-08
GRK2,YES,0.322710107569794,0.0177845327373996
HIVEP3,YES,1.62707937775549,1.0936157290509e-12
PPP1R9A,YES,-1.31005433446365,2.28615941555938e-15
SNRPG,YES,0.621494712403366,0.0137092275838456
RPS8,YES,0.413571065141805,0.000654110227075988
CREB3,YES,0.582073355366749,0.000738367572543022
EFR3A,YES,-0.478457039290461,6.91826771939589e-05
MTA2,YES,0.669127347373466,6.34486752542235e-07
KDM1B,YES,-0.652800162073062,0.0011388950803886
SRF,YES,0.597030322532249,0.000250482913080439
HSPA1B,YES,6.10428596062681,3.23207668482849e-09
MACROH2A1,YES,0.353652917917531,0.0250987870616489
UBN1,YES,0.330250026238215,0.0139645461728455
ASXL2,YES,-0.947271653598491,3.72230239285844e-06
LIMA1,YES,0.878721987287591,3.6778423467731e-08
CD40,YES,1.27456959173257,0.000197367638110423
BRD4,YES,0.872746700038733,1.5909629489858e-08
RC3H1,YES,0.375536599632528,0.00492193808496912
NEXN,YES,-0.376898234939938,0.00210801146520907
HSPB1,YES,2.84942994967646,1.64036944326547e-51
TLE1,YES,0.918186673880393,5.73033315225904e-05
KARS1,YES,0.549302274883705,4.2835357196765e-06
CAMK2A,YES,-0.942963053112026,8.4322152617273e-10
UBN2,YES,-0.355485979828255,0.0112357688184256
SEPTIN11,YES,0.525121331680029,0.000359386049478884
IQGAP1,YES,0.749021693541781,1.15921377540334e-11
TUBB2A,YES,0.853796822452954,7.89225599112947e-05
RREB1,YES,-1.13349058703719,2.59575268655766e-09
RC3H2,YES,-0.291300934126974,0.0254053826272863
SNRPD2,YES,1.09252699708973,4.06648551717008e-12
PYCR2,YES,0.864581553826834,4.14721797938663e-05
JUP,YES,0.250804964950767,0.0276428706414173
HNRNPF,YES,1.11017114390892,3.41526678017757e-21
MCRS1,YES,0.351988611220793,0.012428892775799
TUBB6,YES,2.57227142155892,1.3497295662038e-40
TNS2,YES,0.285089699922149,0.0153604334435433
PDS5A,YES,-0.338196402727871,0.0109015070026316
PRPF31,YES,0.519285360912868,0.00795929291787526
RPS14,YES,0.407793990390868,0.000222262860174404
GAPDH,YES,0.804860707208683,1.6571871090692e-06
CREBBP,YES,0.405185145594175,0.00794691909761996
SEC23A,YES,-0.419733010786842,0.000600620752989541
HNRNPM,YES,0.306326098826857,0.0425009355273821
HSP90AA1,YES,1.9163490161201,2.64772316144074e-15
LRRK2,YES,-0.611666290926987,0.000495729549385338
DCUN1D2,YES,-0.934105482383447,2.4007266888314e-08
NUP50,YES,0.809942257498252,4.30347428560073e-07
LRPPRC,YES,-0.489820310294737,3.64669289182868e-07
SLC25A5,YES,0.378923806151542,0.00023068581383131
TBL1XR1,YES,0.503305708882707,0.000344244661769573
CCT3,YES,0.525714397410769,4.24610876036927e-05
CMBL,YES,-0.600604509801004,0.00122521717258383
POLR1C,YES,0.578195819005756,0.0121053701035902
DDX23,YES,0.652236094598659,3.93187792792561e-06
LSM14A,YES,0.346870951525051,0.0336228034126091
HNRNPA1,YES,1.04223637141553,2.54728865446518e-18
RPL4,YES,0.419721485817731,6.64945797551551e-05
POM121,YES,0.725773617093636,6.18155939340671e-06
NCAPD2,YES,-1.08088112250901,1.86029959781796e-07
FLNC,YES,3.87692640877153,4.80410777191076e-18
ALDH18A1,YES,0.518127429293768,0.00911385696984421
TUBB3,YES,1.75990152072246,0.00953056234773491
HIVEP1,YES,-0.366523594891531,0.0106787604730468
MAP3K7,YES,-0.303701912874479,0.00900031143495942
ATXN2,YES,-0.439671533681929,0.000277224703016715
ACAT1,YES,-0.272624992232904,0.00659571038472278
THAP2,YES,-1.25341728545169,1.38996499907357e-05
RPL6,YES,0.545591084897948,7.92552620380379e-07
NCOR2,YES,1.05254119047802,4.2396679118385e-14
RAN,YES,0.731779930615094,1.07332240505229e-08
SART1,YES,0.914001003786999,6.90449309232933e-10
KIF2A,YES,-0.432868876322771,0.0238790798207144
KANSL2,YES,0.824272166846759,6.41519420278909e-11
RARS1,YES,0.414041150300986,0.00829670198169155
GTPBP4,YES,1.23788589764269,1.02687874959399e-14
ZPR1,YES,0.923796455363404,2.83700266983784e-08
RPL23A,YES,1.0301973443613,8.00772075362451e-16
IARS1,YES,0.408172922586129,0.00323177286218247
YES1,YES,0.669509822736933,0.000699939244985745
AMBRA1,YES,0.708441160659968,1.48880767330412e-05
SENP5,YES,0.589125099683148,0.00487947316822515
RAB14,YES,-0.373253902225022,0.00100192790517765
OGA,YES,-0.436409340458942,0.0002982811716834
WDR5,YES,0.694044943246693,3.83181646466597e-06
IRF2BP2,YES,-1.15879225214434,7.92552620380379e-07
NBEAL2,YES,0.323942698949384,0.041866425567485
AHNAK,YES,1.57514275471939,1.58953411168416e-19
DNAJA1,YES,1.32771072765101,2.08528323583722e-14
ACTN4,YES,1.308422928476,6.63879395724516e-32
SCRIB,YES,0.728655396955249,2.04274814872799e-07
WDR4,YES,1.35461903615641,1.62447607704214e-09
ARID5B,YES,0.999683701269815,6.80646778042488e-06
ZBTB38,YES,0.525763884351362,0.00670116759861422
FNIP1,YES,-0.798734005800993,1.63363545248514e-09
KYAT3,YES,-0.416485345617752,0.0202171415908681
TMEM33,YES,-0.513384787999728,0.00158788972452503
FKBP8,YES,0.359107076563317,0.00447697723918916
BAG2,YES,1.01426180991683,1.75917921556712e-12
YWHAG,YES,0.462263885746072,0.000638430568539083
SNRPB,YES,0.994242948460145,7.67556764332224e-14
RUVBL1,YES,1.07878360542724,1.76596646473659e-08
NPHP3,YES,-1.27097848989025,0.000105126312094797
SYNCRIP,YES,0.540346251000449,1.98371229285457e-05
BPTF,YES,0.32930571148681,0.0325105675443976
USP7,YES,0.245693760512982,0.0461983048779014
ZHX1,YES,-0.875993496515789,1.20952636657702e-07
RPS3,YES,0.638982920337596,7.28737064697654e-09
NFE2L1,YES,0.319432289445373,0.00251282252134111
SF3B3,YES,0.383978629434933,0.0139527929035272
YWHAH,YES,0.395721253708497,0.00451266662276142
MAT2B,YES,-0.557823321539068,3.62054373786799e-05
HSPA1A,YES,6.25473877934256,2.24416050486771e-10
RUVBL2,YES,0.3965695474405,0.0390486100428353
CDC5L,YES,-0.692517507559009,1.3377849716753e-06
RPL28,YES,1.1631413053148,2.31096004600944e-23
KRT18,YES,2.01290909306628,0.000114839057716852
NUP54,YES,0.690017293681467,0.000273425306249068
PAFAH1B2,YES,0.380937689738862,0.00547447263660987
PUF60,YES,0.400331756632409,0.00436678388211413
LRIF1,YES,-1.36997193524419,7.47037658101274e-12
ANKHD1,YES,-0.290471301892896,0.0295434618321259
CIC,YES,0.755154804214147,8.64091887283778e-10
RPLP0,YES,0.386636495456114,0.00014204680636602
NCOA2,YES,-0.474838893258852,0.000178489455946572
SMC4,YES,-0.412978170177712,0.0230449589421295
PACSIN3,YES,1.34060417258567,2.68715607913015e-20
USP9X,YES,-0.438752599614726,7.07730574484849e-05
TRIM63,YES,-0.553875876804388,0.000149664415240079
SERBP1,YES,0.634018240163779,1.9310564795637e-08
RP2,YES,-0.961503521535241,2.74384226348643e-05
TLE3,YES,1.3495438661015,6.27505133293931e-18
CCT8,YES,0.421346795641306,0.0028784162924626
CXXC1,YES,0.340660423379333,0.0179877480390188
RELA,YES,1.13410476909724,5.32674579790808e-15
SMG9,YES,0.684201705820735,0.00180937314932425
PHF21A,YES,-1.04805508438874,7.33017727373268e-09
CLTA,YES,0.314374646831455,0.0189513305926223
RPL18,YES,1.01316914031027,6.25050488861162e-15
SMCHD1,YES,-0.503319984498293,0.000556408666803806
CSNK1G3,YES,0.379723082188208,0.0200947146090311
KDM1A,YES,0.407270500531578,0.00840156081365488
RPL12,YES,0.580518617452139,3.11579361116901e-06
PSMB6,YES,0.473968272001628,0.000120472822449164
EIF2S2,YES,0.37653917381067,0.00576505725991324
SNRPD3,YES,0.503488444343198,0.0008155495844588
